,Entity,metric,value
1019,Kenya,share $10 - $30 per day,0.034723100017396875
1020,Solomon Islands,share $10 - $30 per day,0.036837688943113525
1021,Uzbekistan,share $10 - $30 per day,0.05449279993577987
1022,Rwanda,share $10 - $30 per day,0.016788399772071232
1023,Uganda,share $10 - $30 per day,0.03363930002734282
1024,Bangladesh,share $10 - $30 per day,0.034517899986755876
1025,Syria,share $10 - $30 per day,0.03771580000986639
1026,Nepal,share $10 - $30 per day,0.06999889999407825
1027,Kyrgyzstan,share $10 - $30 per day,0.07416730018392433
1028,Mauritania,share $10 - $30 per day,0.10157700018727045
1029,Cote d'Ivoire,share $10 - $30 per day,0.0551210000511919
1030,Iraq,share $10 - $30 per day,0.13550449991972618
1031,Congo,share $10 - $30 per day,0.03391389871684948
1032,Angola,share $10 - $30 per day,0.03428999970083919
1033,Central African Republic,share $10 - $30 per day,0.01705159977267325
1034,Vanuatu,share $10 - $30 per day,0.06320829393016018
1035,Sudan,share $10 - $30 per day,0.05045660008297265
1036,Micronesia (country),share $10 - $30 per day,0.0901413075660108
1037,India,share $10 - $30 per day,0.04798339999750565
1038,Pakistan,share $10 - $30 per day,0.05458919999330812
1039,Gambia,share $10 - $30 per day,0.06183349790008016
1040,Myanmar,share $10 - $30 per day,0.11047540001859411
1041,Lesotho,share $10 - $30 per day,0.08245350031461997
1042,Egypt,share $10 - $30 per day,0.06631549993683802
1043,Kiribati,share $10 - $30 per day,0.08149424481858478
1044,Zimbabwe,share $10 - $30 per day,0.05321470041080312
1045,Zambia,share $10 - $30 per day,0.039551799582382176
1046,Haiti,share $10 - $30 per day,0.06848100036003173
1047,Mozambique,share $10 - $30 per day,0.02604870004743958
1048,Laos,share $10 - $30 per day,0.07583830082834322
1049,Moldova,share $10 - $30 per day,0.3303189000413044
1050,Tajikistan,share $10 - $30 per day,0.1865028994620432
1051,Albania,share $10 - $30 per day,0.2868071977412573
1052,Djibouti,share $10 - $30 per day,0.0820738970677802
1053,Cameroon,share $10 - $30 per day,0.10864819998497928
1054,Philippines,share $10 - $30 per day,0.1334012999729665
1055,Indonesia,share $10 - $30 per day,0.14810390001679452
1056,Algeria,share $10 - $30 per day,0.30036819993467856
1057,Kosovo,share $10 - $30 per day,0.24775380052406393
1058,Sao Tome and Principe,share $10 - $30 per day,0.041000680866680406
1059,Comoros,share $10 - $30 per day,0.12067140357688748
1060,Bhutan,share $10 - $30 per day,0.2779702052663204
1061,Armenia,share $10 - $30 per day,0.16751780166387706
1062,Ghana,share $10 - $30 per day,0.17316110027546344
1063,Mongolia,share $10 - $30 per day,0.2862671018078034
1064,Georgia,share $10 - $30 per day,0.2136409000634119
1065,Eswatini,share $10 - $30 per day,0.1274960991435453
1066,Nauru,share $10 - $30 per day,0.25781842187014603
1067,Palestine,share $10 - $30 per day,0.40441700141757053
1068,Kazakhstan,share $10 - $30 per day,0.481659299904822
1069,Gabon,share $10 - $30 per day,0.3285085985578424
1070,Sri Lanka,share $10 - $30 per day,0.20683750000000006
1071,North Macedonia,share $10 - $30 per day,0.5084655974363064
1072,Vietnam,share $10 - $30 per day,0.3490802000138652
1073,Tuvalu,share $10 - $30 per day,0.2356279683377309
1074,Ukraine,share $10 - $30 per day,0.6041548999372869
1075,Tunisia,share $10 - $30 per day,0.4176853000447897
1076,El Salvador,share $10 - $30 per day,0.33149899923639525
1077,Turkmenistan,share $10 - $30 per day,0.2884234991625951
1078,Fiji,share $10 - $30 per day,0.31552600178469875
1079,Honduras,share $10 - $30 per day,0.21331640013647252
1080,Guatemala,share $10 - $30 per day,0.22681499977187136
1081,Botswana,share $10 - $30 per day,0.1896145983362418
1082,Samoa,share $10 - $30 per day,0.3040488963512019
1083,Cape Verde,share $10 - $30 per day,0.2728996999053017
1084,Serbia,share $10 - $30 per day,0.501728399862239
1085,Jordan,share $10 - $30 per day,0.38773570014560527
1086,Tonga,share $10 - $30 per day,0.33267544461656107
1087,Morocco,share $10 - $30 per day,0.31599939985319264
1088,Belize,share $10 - $30 per day,0.203529987838273
1089,Nicaragua,share $10 - $30 per day,0.32085139913122535
1090,Jamaica,share $10 - $30 per day,0.31494949934145955
1091,Guyana,share $10 - $30 per day,0.35864160026624664
1092,China,share $10 - $30 per day,0.4234081000003606
1093,Mauritius,share $10 - $30 per day,0.4744336014258908
1094,Peru,share $10 - $30 per day,0.41581379987601563
1095,Namibia,share $10 - $30 per day,0.20677440259585117
1096,Mexico,share $10 - $30 per day,0.36400609993847927
1097,Bolivia,share $10 - $30 per day,0.4098703002826625
1098,Dominican Republic,share $10 - $30 per day,0.4464851003949251
1099,Ecuador,share $10 - $30 per day,0.4073622003125223
1100,Colombia,share $10 - $30 per day,0.35832999998936826
1101,South Africa,share $10 - $30 per day,0.1753793998928184
1102,Thailand,share $10 - $30 per day,0.5256280999738505
1103,Montenegro,share $10 - $30 per day,0.5456855936873869
1104,Maldives,share $10 - $30 per day,0.6846997997590661
1105,Belarus,share $10 - $30 per day,0.7866661992128245
1106,Romania,share $10 - $30 per day,0.5794798004216001
1107,Iran,share $10 - $30 per day,0.4885148000251036
1108,Paraguay,share $10 - $30 per day,0.4509567002598783
1109,Poland,share $10 - $30 per day,0.7023620000260173
1110,Azerbaijan,share $10 - $30 per day,0.8359203901590344
1111,Bulgaria,share $10 - $30 per day,0.6191708996689771
1112,Russia,share $10 - $30 per day,0.6031822000274886
1113,Seychelles,share $10 - $30 per day,0.6524470227350981
1114,Turkey,share $10 - $30 per day,0.5385385999379645
1115,Brazil,share $10 - $30 per day,0.4248118999933173
1116,Saint Lucia,share $10 - $30 per day,0.4300216075819954
1117,Croatia,share $10 - $30 per day,0.6678603991581104
1118,Argentina (Urban),share $10 - $30 per day,0.5161105001614178
1119,Greece,share $10 - $30 per day,0.6296243002696781
1120,Lebanon,share $10 - $30 per day,0.6714872003632482
1121,Bosnia and Herzegovina,share $10 - $30 per day,0.6442878992172821
1122,Chile,share $10 - $30 per day,0.5864112000803012
1123,Costa Rica,share $10 - $30 per day,0.4781536010233631
1124,Hungary,share $10 - $30 per day,0.6811906293912341
1125,Panama,share $10 - $30 per day,0.4609000988854748
1126,Trinidad and Tobago,share $10 - $30 per day,0.5422176013964592
1127,Slovakia,share $10 - $30 per day,0.6857852101178991
1128,Latvia,share $10 - $30 per day,0.5902170989492588
1129,Uruguay,share $10 - $30 per day,0.5417889011553706
1130,Portugal,share $10 - $30 per day,0.6004383192722542
1131,Malaysia,share $10 - $30 per day,0.5341941000663945
1132,Lithuania,share $10 - $30 per day,0.5618828010011303
1133,Czechia,share $10 - $30 per day,0.5737041908216368
1134,Estonia,share $10 - $30 per day,0.4810491094472074
1135,Israel,share $10 - $30 per day,0.3927153007471337
1136,Spain,share $10 - $30 per day,0.3845412801978381
1137,Slovenia,share $10 - $30 per day,0.4032222844886827
1138,Italy,share $10 - $30 per day,0.3270232499754818
1139,Cyprus,share $10 - $30 per day,0.3541997067001221
1140,South Korea,share $10 - $30 per day,0.3050027899078755
1141,Taiwan,share $10 - $30 per day,0.30501795013431715
1142,United Kingdom,share $10 - $30 per day,0.28645648012176533
1143,Japan,share $10 - $30 per day,0.27050188003313963
1144,Malta,share $10 - $30 per day,0.2822856245419328
1145,United States,share $10 - $30 per day,0.19504037999672347
1146,France,share $10 - $30 per day,0.21468316201665463
1147,Ireland,share $10 - $30 per day,0.20781040972769413
1148,Germany,share $10 - $30 per day,0.20236140998677887
1149,Belgium,share $10 - $30 per day,0.2004642660787657
1150,Canada,share $10 - $30 per day,0.17740586002022093
1151,Australia,share $10 - $30 per day,0.17509462008157106
1152,Finland,share $10 - $30 per day,0.1738202800399549
1153,Austria,share $10 - $30 per day,0.15935753025325414
1154,Netherlands,share $10 - $30 per day,0.15583204037803094
1155,Sweden,share $10 - $30 per day,0.14734254995526808
1156,Denmark,share $10 - $30 per day,0.1379017776297576
1157,Luxembourg,share $10 - $30 per day,0.113970748034665
1158,Switzerland,share $10 - $30 per day,0.11149831989247312
1159,Iceland,share $10 - $30 per day,0.0967130460104834
1160,Norway,share $10 - $30 per day,0.06403353213436201
1161,United Arab Emirates,share $10 - $30 per day,0.054915757573649464
1162,Guinea-Bissau,share Above $30 per day,0.0
1163,Mali,share Above $30 per day,1.400143061010269e-06
1164,Somalia,share Above $30 per day,5.980004687052741e-05
1165,Madagascar,share Above $30 per day,6.129983958097122e-05
1166,Burundi,share Above $30 per day,0.00015999964533193036
1167,Niger,share Above $30 per day,0.0001891001178013883
1168,Democratic Republic of Congo,share Above $30 per day,0.000224599970584276
1169,South Sudan,share Above $30 per day,0.00028559974608543767
1170,Timor,share Above $30 per day,0.00034519702620763095
1171,Nigeria,share Above $30 per day,0.0003496000024854307
1172,Yemen,share Above $30 per day,0.000591999855145499
1173,Togo,share Above $30 per day,0.000639899460607458
1174,Sierra Leone,share Above $30 per day,0.0006806005156487238
1175,Liberia,share Above $30 per day,0.0007230997731287598
1176,Malawi,share Above $30 per day,0.0007869997385436525
1177,Burkina Faso,share Above $30 per day,0.0009220001121225995
1178,Guinea,share Above $30 per day,0.0009896997225366517
1179,Chad,share Above $30 per day,0.0010039999938735074
1180,Ethiopia,share Above $30 per day,0.00125649999853379
1181,Benin,share Above $30 per day,0.0013065998616221728
1182,Papua New Guinea,share Above $30 per day,0.0013566995325566174
1183,Senegal,share Above $30 per day,0.0013972999305225029
1184,Tanzania,share Above $30 per day,0.0014860999870737594
1185,Kenya,share Above $30 per day,0.0016821999625539136
1186,Solomon Islands,share Above $30 per day,0.0016978073637109658
1187,Uzbekistan,share Above $30 per day,0.0018819001130027048
1188,Rwanda,share Above $30 per day,0.0019684003012451637
1189,Uganda,share Above $30 per day,0.0019867000190585964
1190,Bangladesh,share Above $30 per day,0.0020878999929560558
1191,Syria,share Above $30 per day,0.0021005001054019007
1192,Nepal,share Above $30 per day,0.0021980999542333722
1193,Kyrgyzstan,share Above $30 per day,0.0024183004743313116
1194,Mauritania,share Above $30 per day,0.0024662994731673837
1195,Cote d'Ivoire,share Above $30 per day,0.002729999984859279
1196,Iraq,share Above $30 per day,0.003056700114966281
1197,Congo,share Above $30 per day,0.003467400368872931
1198,Angola,share Above $30 per day,0.0036605001323417596
1199,Central African Republic,share Above $30 per day,0.0038197004021733954
1200,Vanuatu,share Above $30 per day,0.003972890616790964
1201,Sudan,share Above $30 per day,0.00407149995555386
1202,Micronesia (country),share Above $30 per day,0.004089934415345558
1203,India,share Above $30 per day,0.0041655000020973335
1204,Pakistan,share Above $30 per day,0.004273200006661024
1205,Gambia,share Above $30 per day,0.00431550020009994
1206,Myanmar,share Above $30 per day,0.004417200060072013
1207,Lesotho,share Above $30 per day,0.004540697863453003
1208,Egypt,share Above $30 per day,0.0046105000515695195
1209,Kiribati,share Above $30 per day,0.0047506964032306255
1210,Zimbabwe,share Above $30 per day,0.004811299914411616
1211,Zambia,share Above $30 per day,0.004947200280437154
1212,Haiti,share Above $30 per day,0.0049509996297700766
1213,Mozambique,share Above $30 per day,0.0057242999731195445
1214,Laos,share Above $30 per day,0.005942199341726353
1215,Moldova,share Above $30 per day,0.00672660152339724
1216,Tajikistan,share Above $30 per day,0.007333400298279345
1217,Albania,share Above $30 per day,0.007822500910923711
1218,Djibouti,share Above $30 per day,0.00791439862641229
1219,Cameroon,share Above $30 per day,0.008602900059818357
1220,Philippines,share Above $30 per day,0.008868899989639918
1221,Indonesia,share Above $30 per day,0.009658500000260806
1222,Algeria,share Above $30 per day,0.009771299989915322
1223,Kosovo,share Above $30 per day,0.010944001768841253
1224,Sao Tome and Principe,share Above $30 per day,0.011102907445591066
1225,Comoros,share Above $30 per day,0.011439097570684986
1226,Bhutan,share Above $30 per day,0.011949493540495343
1227,Armenia,share Above $30 per day,0.012033598783486435
1228,Ghana,share Above $30 per day,0.012669399839039678
1229,Mongolia,share Above $30 per day,0.013083298461451504
1230,Georgia,share Above $30 per day,0.015465699607618432
1231,Eswatini,share Above $30 per day,0.020825496797963673
1232,Nauru,share Above $30 per day,0.022002951227089118
1233,Palestine,share Above $30 per day,0.02226479946933701
1234,Kazakhstan,share Above $30 per day,0.022295000226191897
1235,Gabon,share Above $30 per day,0.02271520125453858
1236,Sri Lanka,share Above $30 per day,0.02440990020518553
1237,North Macedonia,share Above $30 per day,0.025500000960616595
1238,Vietnam,share Above $30 per day,0.025770099957670822
1239,Tuvalu,share Above $30 per day,0.02608355321020226
1240,Ukraine,share Above $30 per day,0.026692499977972906
1241,Tunisia,share Above $30 per day,0.02708090030273468
1242,El Salvador,share Above $30 per day,0.027847300035910426
1243,Turkmenistan,share Above $30 per day,0.028776400657974648
1244,Fiji,share Above $30 per day,0.03089270267898552
1245,Honduras,share Above $30 per day,0.032445800000487766
1246,Guatemala,share Above $30 per day,0.033100800265151324
1247,Botswana,share Above $30 per day,0.03363830126867909
1248,Samoa,share Above $30 per day,0.03575740202301486
1249,Cape Verde,share Above $30 per day,0.03601640567296194
1250,Serbia,share Above $30 per day,0.03678670042892196
1251,Jordan,share Above $30 per day,0.04034129982156986
1252,Tonga,share Above $30 per day,0.04213778701543169
1253,Morocco,share Above $30 per day,0.04340970005194294
1254,Belize,share Above $30 per day,0.0488171988641958
1255,Nicaragua,share Above $30 per day,0.05403110015810856
1256,Jamaica,share Above $30 per day,0.059097999796634694
1257,Guyana,share Above $30 per day,0.059160703850901865
1258,China,share Above $30 per day,0.059451599998557425
1259,Mauritius,share Above $30 per day,0.06162419649331456
1260,Peru,share Above $30 per day,0.06848990009221709
1261,Namibia,share Above $30 per day,0.07098869850741056
1262,Mexico,share Above $30 per day,0.07246930003082931
1263,Bolivia,share Above $30 per day,0.08125550016108485
1264,Dominican Republic,share Above $30 per day,0.08387199969257496
1265,Ecuador,share Above $30 per day,0.08553379995818981
1266,Colombia,share Above $30 per day,0.08661249992946204
1267,South Africa,share Above $30 per day,0.09174060008753261
1268,Thailand,share Above $30 per day,0.09254410000378853
1269,Montenegro,share Above $30 per day,0.09625570196650554
1270,Maldives,share Above $30 per day,0.09785959766479589
1271,Belarus,share Above $30 per day,0.09836100049440613
1272,Romania,share Above $30 per day,0.09906499980344391
1273,Iran,share Above $30 per day,0.10651120000308399
1274,Paraguay,share Above $30 per day,0.1128531998109235
1275,Poland,share Above $30 per day,0.11310890009081272
1276,Azerbaijan,share Above $30 per day,0.12050599992916602
1277,Bulgaria,share Above $30 per day,0.147030100705955
1278,Russia,share Above $30 per day,0.15359699997384021
1279,Seychelles,share Above $30 per day,0.15393184687457606
1280,Turkey,share Above $30 per day,0.1578311000438806
1281,Brazil,share Above $30 per day,0.1603612999848903
1282,Saint Lucia,share Above $30 per day,0.16648967975463522
1283,Croatia,share Above $30 per day,0.19541300089634434
1284,Argentina (Urban),share Above $30 per day,0.20163879993686812
1285,Greece,share Above $30 per day,0.2018743999704686
1286,Lebanon,share Above $30 per day,0.2068864994987428
1287,Bosnia and Herzegovina,share Above $30 per day,0.2157362002454404
1288,Chile,share Above $30 per day,0.2181040997455448
1289,Costa Rica,share Above $30 per day,0.22141719902851625
1290,Hungary,share Above $30 per day,0.2287157004836347
1291,Panama,share Above $30 per day,0.23817100101271774
1292,Trinidad and Tobago,share Above $30 per day,0.24015489801108608
1293,Slovakia,share Above $30 per day,0.2437222001194286
1294,Latvia,share Above $30 per day,0.30037980216738547
1295,Uruguay,share Above $30 per day,0.30634049884684084
1296,Portugal,share Above $30 per day,0.31912100035921287
1297,Malaysia,share Above $30 per day,0.3276514999439961
1298,Lithuania,share Above $30 per day,0.3308858002201242
1299,Czechia,share Above $30 per day,0.4090911995520668
1300,Estonia,share Above $30 per day,0.48084909942735
1301,Israel,share Above $30 per day,0.5025227996281547
1302,Spain,share Above $30 per day,0.5497774998929029
1303,Slovenia,share Above $30 per day,0.5887539997328671
1304,Italy,share Above $30 per day,0.6152499000234717
1305,Cyprus,share Above $30 per day,0.638074299810118
1306,South Korea,share Above $30 per day,0.667518000060395
1307,Taiwan,share Above $30 per day,0.6875222000070481
1308,United Kingdom,share Above $30 per day,0.6914215999401383
1309,Japan,share Above $30 per day,0.702765599998555
1310,Malta,share Above $30 per day,0.7081837995380332
1311,United States,share Above $30 per day,0.7750191000037081
1312,France,share Above $30 per day,0.7814054999299402
1313,Ireland,share Above $30 per day,0.7849702000337813
1314,Germany,share Above $30 per day,0.7851931999662896
1315,Belgium,share Above $30 per day,0.7927502000411774
1316,Canada,share Above $30 per day,0.8075960001008119
1317,Australia,share Above $30 per day,0.8101235000117877
1318,Finland,share Above $30 per day,0.8221200991827841
1319,Austria,share Above $30 per day,0.8280883996778199
1320,Netherlands,share Above $30 per day,0.8338245997267223
1321,Sweden,share Above $30 per day,0.8403994999651014
1322,Denmark,share Above $30 per day,0.858832800807635
1323,Luxembourg,share Above $30 per day,0.8692561072952162
1324,Switzerland,share Above $30 per day,0.884680300384295
1325,Iceland,share Above $30 per day,0.9009758590564938
1326,Norway,share Above $30 per day,0.9263909995285171
1327,United Arab Emirates,share Above $30 per day,0.9369050899406284
1328,Guinea-Bissau,Population,1828146.0
1329,Mali,Population,18512394.0
1330,Somalia,Population,14589119.0
1331,Madagascar,Population,25570540.0
1332,Burundi,Population,10827024.0
1333,Niger,Population,21602472.0
1334,Democratic Republic of Congo,Population,81398764.0
1335,South Sudan,Population,10910759.0
1336,Timor,Population,1243261.0
1337,Nigeria,Population,190873311.0
1338,Yemen,Population,27834821.0
1339,Togo,Population,7698475.0
1340,Sierra Leone,Population,7488431.0
1341,Liberia,Population,4702228.0
1342,Malawi,Population,17670260.0
1343,Burkina Faso,Population,19193284.0
1344,Guinea,Population,12067539.0
1345,Chad,Population,15016773.0
1346,Ethiopia,Population,106400024.0
1347,Benin,Population,11175204.0
1348,Papua New Guinea,Population,8438029.0
1349,Senegal,Population,15419381.0
1350,Tanzania,Population,54663906.0
1351,Kenya,Population,50221473.0
1352,Solomon Islands,Population,636038.0
1353,Uzbekistan,Population,32388600.0
1354,Rwanda,Population,11980937.0
1355,Uganda,Population,41162465.0
1356,Bangladesh,Population,159670593.0
1357,Syria,Population,17068002.0
1358,Nepal,Population,27627124.0
1359,Kyrgyzstan,Population,6198200.0
1360,Mauritania,Population,4282574.0
1361,Cote d'Ivoire,Population,24437469.0
1362,Iraq,Population,37552781.0
1363,Congo,Population,5110702.0
1364,Angola,Population,29816748.0
1365,Central African Republic,Population,4596028.0
1366,Vanuatu,Population,285510.0
1367,Sudan,Population,40813396.0
1368,Micronesia (country),Population,111459.0
1369,India,Population,1338658835.0
1370,Pakistan,Population,207896686.0
1371,Gambia,Population,2213894.0
1372,Myanmar,Population,53382581.0
1373,Lesotho,Population,2091412.0
1374,Egypt,Population,96442593.0
1375,Kiribati,Population,114158.0
1376,Zimbabwe,Population,14236745.0
1377,Zambia,Population,16853688.0
1378,Haiti,Population,10982366.0
1379,Mozambique,Population,28649007.0
1380,Laos,Population,6953035.0
1381,Moldova,Population,2755158.0
1382,Tajikistan,Population,8880268.0
1383,Albania,Population,2873457.0
1384,Djibouti,Population,944097.0
1385,Cameroon,Population,24566045.0
1386,Philippines,Population,105173264.0
1387,Indonesia,Population,264645886.00000003
1388,Algeria,Population,41389198.0
1389,Kosovo,Population,1791003.0
1390,Sao Tome and Principe,Population,207089.0
1391,Comoros,Population,813892.0
1392,Bhutan,Population,745568.0
1393,Armenia,Population,2944809.0
1394,Ghana,Population,29121471.0
1395,Mongolia,Population,3113779.0
1396,Georgia,Population,3728004.0
1397,Eswatini,Population,1124753.0
1398,Nauru,Population,12876.0
1399,Palestine,Population,4454805.0
1400,Kazakhstan,Population,18037776.0
1401,Gabon,Population,2064823.0
1402,Sri Lanka,Population,21444000.0
1403,North Macedonia,Population,2081996.0
1404,Vietnam,Population,94596642.0
1405,Tuvalu,Population,11370.0
1406,Ukraine,Population,44831135.0
1407,Tunisia,Population,11433443.0
1408,El Salvador,Population,6388122.0
1409,Turkmenistan,Population,5757669.0
1410,Fiji,Population,877459.0
1411,Honduras,Population,9429013.0
1412,Guatemala,Population,16087418.0
1413,Botswana,Population,2205128.0
1414,Samoa,Population,195352.0
1415,Cape Verde,Population,537497.0
1416,Serbia,Population,7020858.0
1417,Jordan,Population,9779173.0
1418,Tonga,Population,101998.0
1419,Morocco,Population,35581294.0
1420,Belize,Population,375769.0
1421,Nicaragua,Population,6384855.0
1422,Jamaica,Population,2920853.0
1423,Guyana,Population,775221.0
1424,China,Population,1386395000.0
1425,Mauritius,Population,1264613.0
1426,Peru,Population,31444297.0
1427,Namibia,Population,2402603.0
1428,Mexico,Population,124777324.0
1429,Bolivia,Population,11192854.0
1430,Dominican Republic,Population,10513131.0
1431,Ecuador,Population,16785361.0
1432,Colombia,Population,48909844.0
1433,South Africa,Population,57000451.0
1434,Thailand,Population,69209858.0
1435,Montenegro,Population,622373.0
1436,Maldives,Population,496402.0
1437,Belarus,Population,9498264.0
1438,Romania,Population,19587290.0
1439,Iran,Population,80673951.0
1440,Paraguay,Population,6867062.0
1441,Poland,Population,37974826.0
1442,Azerbaijan,Population,9854033.0
1443,Bulgaria,Population,7075947.0
1444,Russia,Population,144496740.0
1445,Seychelles,Population,95843.0
1446,Turkey,Population,81101892.0
1447,Brazil,Population,207833831.0
1448,Saint Lucia,Population,180955.0
1449,Croatia,Population,4124531.0
1450,Argentina (Urban),Population,40410674.0
1451,Greece,Population,10754679.0
1452,Lebanon,Population,6811873.0
1453,Bosnia and Herzegovina,Population,3351527.0
1454,Chile,Population,18470439.0
1455,Costa Rica,Population,4949954.0
1456,Hungary,Population,9787966.0
1457,Panama,Population,4106771.0
1458,Trinidad and Tobago,Population,1384072.0
1459,Slovakia,Population,5439232.0
1460,Latvia,Population,1942248.0
1461,Uruguay,Population,3436646.0
1462,Portugal,Population,10300300.0
1463,Malaysia,Population,31105028.0
1464,Lithuania,Population,2828403.0
1465,Czechia,Population,10594438.0
1466,Estonia,Population,1317384.0
1467,Israel,Population,8713300.0
1468,Spain,Population,46593236.0
1469,Slovenia,Population,2066388.0
1470,Italy,Population,60536709.0
1471,Cyprus,Population,1179680.0
1472,South Korea,Population,51361911.0
1473,Taiwan,Population,23552470.0
1474,United Kingdom,Population,66058859.0
1475,Japan,Population,126785797.0
1476,Malta,Population,467999.0
1477,United States,Population,324985539.0
1478,France,Population,66864379.0
1479,Ireland,Population,4807388.0
1480,Germany,Population,82657002.0
1481,Belgium,Population,11375158.0
1482,Canada,Population,36543321.0
1483,Australia,Population,24601860.0
1484,Finland,Population,5508214.0
1485,Austria,Population,8797566.0
1486,Netherlands,Population,17131296.0
1487,Sweden,Population,10057698.0
1488,Denmark,Population,5764980.0
1489,Luxembourg,Population,596336.0
1490,Switzerland,Population,8451840.0
1491,Iceland,Population,343400.0
1492,Norway,Population,5276968.0
1493,United Arab Emirates,Population,9487203.0
1494,Guinea-Bissau,cum_pop,1828146.0
1495,Mali,cum_pop,20340540.0
1496,Somalia,cum_pop,34929659.0
1497,Madagascar,cum_pop,60500199.0
1498,Burundi,cum_pop,71327223.0
1499,Niger,cum_pop,92929695.0
1500,Democratic Republic of Congo,cum_pop,174328459.0
1501,South Sudan,cum_pop,185239218.0
1502,Timor,cum_pop,186482479.0
1503,Nigeria,cum_pop,377355790.0
1504,Yemen,cum_pop,405190611.0
1505,Togo,cum_pop,412889086.0
1506,Sierra Leone,cum_pop,420377517.0
1507,Liberia,cum_pop,425079745.0
1508,Malawi,cum_pop,442750005.0
1509,Burkina Faso,cum_pop,461943289.0
1510,Guinea,cum_pop,474010828.0
1511,Chad,cum_pop,489027601.0
1512,Ethiopia,cum_pop,595427625.0
1513,Benin,cum_pop,606602829.0
1514,Papua New Guinea,cum_pop,615040858.0
1515,Senegal,cum_pop,630460239.0
1516,Tanzania,cum_pop,685124145.0
1517,Kenya,cum_pop,735345618.0
1518,Solomon Islands,cum_pop,735981656.0
1519,Uzbekistan,cum_pop,768370256.0
1520,Rwanda,cum_pop,780351193.0
1521,Uganda,cum_pop,821513658.0
1522,Bangladesh,cum_pop,981184251.0
1523,Syria,cum_pop,998252253.0
1524,Nepal,cum_pop,1025879377.0
1525,Kyrgyzstan,cum_pop,1032077577.0
1526,Mauritania,cum_pop,1036360151.0
1527,Cote d'Ivoire,cum_pop,1060797620.0
1528,Iraq,cum_pop,1098350401.0
1529,Congo,cum_pop,1103461103.0
1530,Angola,cum_pop,1133277851.0
1531,Central African Republic,cum_pop,1137873879.0
1532,Vanuatu,cum_pop,1138159389.0
1533,Sudan,cum_pop,1178972785.0
1534,Micronesia (country),cum_pop,1179084244.0
1535,India,cum_pop,2517743079.0
1536,Pakistan,cum_pop,2725639765.0
1537,Gambia,cum_pop,2727853659.0
1538,Myanmar,cum_pop,2781236240.0
1539,Lesotho,cum_pop,2783327652.0
1540,Egypt,cum_pop,2879770245.0
1541,Kiribati,cum_pop,2879884403.0
1542,Zimbabwe,cum_pop,2894121148.0
1543,Zambia,cum_pop,2910974836.0
1544,Haiti,cum_pop,2921957202.0
1545,Mozambique,cum_pop,2950606209.0
1546,Laos,cum_pop,2957559244.0
1547,Moldova,cum_pop,2960314402.0
1548,Tajikistan,cum_pop,2969194670.0
1549,Albania,cum_pop,2972068127.0
1550,Djibouti,cum_pop,2973012224.0
1551,Cameroon,cum_pop,2997578269.0
1552,Philippines,cum_pop,3102751533.0
1553,Indonesia,cum_pop,3367397419.0
1554,Algeria,cum_pop,3408786617.0
1555,Kosovo,cum_pop,3410577620.0
1556,Sao Tome and Principe,cum_pop,3410784709.0
1557,Comoros,cum_pop,3411598601.0
1558,Bhutan,cum_pop,3412344169.0
1559,Armenia,cum_pop,3415288978.0
1560,Ghana,cum_pop,3444410449.0
1561,Mongolia,cum_pop,3447524228.0
1562,Georgia,cum_pop,3451252232.0
1563,Eswatini,cum_pop,3452376985.0
1564,Nauru,cum_pop,3452389861.0
1565,Palestine,cum_pop,3456844666.0
1566,Kazakhstan,cum_pop,3474882442.0
1567,Gabon,cum_pop,3476947265.0
1568,Sri Lanka,cum_pop,3498391265.0
1569,North Macedonia,cum_pop,3500473261.0
1570,Vietnam,cum_pop,3595069903.0
1571,Tuvalu,cum_pop,3595081273.0
1572,Ukraine,cum_pop,3639912408.0
1573,Tunisia,cum_pop,3651345851.0
1574,El Salvador,cum_pop,3657733973.0
1575,Turkmenistan,cum_pop,3663491642.0
1576,Fiji,cum_pop,3664369101.0
1577,Honduras,cum_pop,3673798114.0
1578,Guatemala,cum_pop,3689885532.0
1579,Botswana,cum_pop,3692090660.0
1580,Samoa,cum_pop,3692286012.0
1581,Cape Verde,cum_pop,3692823509.0
1582,Serbia,cum_pop,3699844367.0
1583,Jordan,cum_pop,3709623540.0
1584,Tonga,cum_pop,3709725538.0
1585,Morocco,cum_pop,3745306832.0
1586,Belize,cum_pop,3745682601.0
1587,Nicaragua,cum_pop,3752067456.0
1588,Jamaica,cum_pop,3754988309.0
1589,Guyana,cum_pop,3755763530.0
1590,China,cum_pop,5142158530.0
1591,Mauritius,cum_pop,5143423143.0
1592,Peru,cum_pop,5174867440.0
1593,Namibia,cum_pop,5177270043.0
1594,Mexico,cum_pop,5302047367.0
1595,Bolivia,cum_pop,5313240221.0
1596,Dominican Republic,cum_pop,5323753352.0
1597,Ecuador,cum_pop,5340538713.0
1598,Colombia,cum_pop,5389448557.0
1599,South Africa,cum_pop,5446449008.0
1600,Thailand,cum_pop,5515658866.0
1601,Montenegro,cum_pop,5516281239.0
1602,Maldives,cum_pop,5516777641.0
1603,Belarus,cum_pop,5526275905.0
1604,Romania,cum_pop,5545863195.0
1605,Iran,cum_pop,5626537146.0
1606,Paraguay,cum_pop,5633404208.0
1607,Poland,cum_pop,5671379034.0
1608,Azerbaijan,cum_pop,5681233067.0
1609,Bulgaria,cum_pop,5688309014.0
1610,Russia,cum_pop,5832805754.0
