Entity,Year,0 or 1 dose,2 doses,3 doses,4 doses
80+,324,18.379769279837394,18.81012522169076,4.439483497805627,
80+,331,27.10644157477583,20.03759434367337,3.101207920485029,
80+,338,25.021758050478677,28.199937557281125,7.006299577185052,
80+,345,29.48757153466428,28.11416433249685,2.711774524987496,
80+,352,29.593257121562523,29.184456574609523,4.765663395237315,
80+,359,36.299237716007966,27.731558513588464,1.477427857197733,
80+,366,11.043012533819226,5.711870409084159,2.343326645088534,
80+,373,18.819882652496403,16.270177926017176,3.205968931246539,
80+,380,21.324593990953883,16.781122528011565,3.9669046809475237,
80+,387,15.73334232381466,18.600696197486247,5.067068278745056,
80+,394,40.5241118465487,35.569661814599975,15.450870445855935,0.0
80+,401,54.80923032180848,76.36934477930673,28.590168345638318,0.0
80+,408,91.37777376668208,104.29167380993199,43.100794286066126,0.0
80+,415,132.1869598129046,147.30762499270753,61.02077828454982,9.927529038022437
80+,422,144.82914686580673,160.7016806091645,78.67936864423997,4.264165023186397
80+,429,146.18723298165293,139.47642695113726,89.4779879868309,3.775779132023893
80+,436,103.27764663155983,126.50912896121949,68.49248525711398,7.430984729326381
80+,443,89.78088917174288,79.14773716619442,54.23512521933323,6.657346381732242
80+,450,68.28269033799931,70.57842225145167,36.94062371934361,6.63184099906134
80+,457,52.4192629395811,32.48599041663283,35.70505164920402,7.22105080731348
80+,464,31.946694658056273,27.91553088771388,32.52011369031746,1.8416884599801098
80+,471,35.405102903218435,33.209351753453774,22.3560574753914,2.6774478567029907
80+,478,16.001097218094955,10.080983904029033,16.16769413534469,2.171873371094972
80+,485,18.30035456936978,11.854962995579791,11.548510963867596,3.8385423775078475
80+,492,11.446362346046426,10.248876893907042,13.47517199559811,3.749984375065104
80+,499,11.457116014756766,5.163244582895892,9.32828569429653,2.4443801662993305
80+,506,4.587629457168744,8.684023134237629,9.763003099753485,1.9856556237738576
80+,513,10.329867089043454,3.50938761186173,9.492824287822433,2.6975575543172483
80+,520,5.742637938163274,19.54270080125073,23.048484792609734,5.230418620290288
80+,527,12.643096869109467,28.768699654775602,11.71291641858059,7.652615007871261
