,id,continent,country,color,type,sex,label,short_label,ages,total,ICD,cancers,ui_upper,ui_lower,asr,crude_rate,cum_risk
113,807,5,807,,1,0,North Macedonia,,[],984,C33-34,"{'15': {'id': 15, 'label': 'Lung', 'total': 984}}",1157.9,836.2,27.289346892095,47.230942026899,5.527095720333
114,56,5,56,,1,0,Belgium,,[],6823,C33-34,"{'15': {'id': 15, 'label': 'Lung', 'total': 6823}}",7170.4,6492.4,25.357235043232,58.871665808427,6.7099038481335995
115,484,2,484,,1,0,Mexico,,[],7100,C33-34,"{'15': {'id': 15, 'label': 'Lung', 'total': 7100}}",7360.4,6848.8,4.9351238948115,5.5067466061164,1.635507403255
116,233,5,233,,1,0,Estonia,,[],669,C33-34,"{'15': {'id': 15, 'label': 'Lung', 'total': 669}}",741.8,603.4,21.369838542124,50.431988806963,5.584994045649
117,702,4,702,,1,0,Singapore,,[],2626,C33-34,"{'15': {'id': 15, 'label': 'Lung', 'total': 2626}}",2768.8,2490.6,23.696285159697,44.886257096379,8.5751544073888
118,392,4,392,,1,0,Japan,,[],82369,C33-34,"{'15': {'id': 15, 'label': 'Lung', 'total': 82369}}",83932.3,80834.8,14.729183815185,65.125954112346,6.0031009230397
119,860,4,860,,1,0,Uzbekistan,,[],2114,C33-34,"{'15': {'id': 15, 'label': 'Lung', 'total': 2114}}",2323.8,1923.1,7.4787363502162,6.3162551335633,1.5008572043226
120,90,6,90,,1,0,Solomon Islands,,[],23,C33-34,"{'15': {'id': 15, 'label': 'Lung', 'total': 23}}",43.2,12.2,6.062827084034,3.3484840102609,1.02452195494
121,516,1,516,,1,0,Namibia,,[],76,C33-34,"{'15': {'id': 15, 'label': 'Lung', 'total': 76}}",103.8,55.6,5.1138371020362,2.9910473230914,1.0202954095208
122,266,1,266,,1,0,Gabon,,[],37,C33-34,"{'15': {'id': 15, 'label': 'Lung', 'total': 37}}",96.2,14.2,2.7389168082618003,1.6623774333611,0.73579408680522
123,724,5,724,,1,0,Spain,,[],22930,C33-34,"{'15': {'id': 15, 'label': 'Lung', 'total': 22930}}",23534.5,22341.0,20.936230281763,49.043110733719,5.2107035674422
124,417,4,417,,1,0,Kyrgyzstan,,[],635,C33-34,"{'15': {'id': 15, 'label': 'Lung', 'total': 635}}",735.7,548.1,12.149483452852,9.7330075100499,2.6832134518292
125,120,1,120,,1,0,Cameroon,,[],391,C33-34,"{'15': {'id': 15, 'label': 'Lung', 'total': 391}}",809.1,188.9,2.9857937418788,1.4729224861545,0.71953205339178
126,562,1,562,,1,0,Niger,,[],92,C33-34,"{'15': {'id': 15, 'label': 'Lung', 'total': 92}}",95.2,88.9,0.86009904716776,0.38006107085677,0.11753635348173
127,887,4,887,,1,0,Yemen,,[],734,C33-34,"{'15': {'id': 15, 'label': 'Lung', 'total': 734}}",1346.7,400.0,5.5206940976818,2.4609427596784,2.1692197387593
128,312,2,312,,1,0,"France, Guadeloupe",,[],91,C33-34,"{'15': {'id': 15, 'label': 'Lung', 'total': 91}}",115.9,71.4,9.8719536879042,22.742779167614,2.5712067027909002
129,760,4,760,,1,0,Syrian Arab Republic,,[],1821,C33-34,"{'15': {'id': 15, 'label': 'Lung', 'total': 1821}}",4137.3,801.5,14.135643087977,10.405323640135,4.1451300386605
130,12,1,12,,1,0,Algeria,,[],4333,C33-34,"{'15': {'id': 15, 'label': 'Lung', 'total': 4333}}",4809.5,3903.7,10.440872634354,9.8811788809676,2.6843163501558998
131,440,5,440,,1,0,Lithuania,,[],1201,C33-34,"{'15': {'id': 15, 'label': 'Lung', 'total': 1201}}",1293.5,1115.1,19.104887342277,44.117252711044,4.4231477731376
132,160,4,160,,1,0,China,,[],714699,C33-34,"{'15': {'id': 15, 'label': 'Lung', 'total': 714699}}",722992.0,706501.0,30.245774713411,49.375735662443,8.4617346756235
133,604,2,604,,1,0,Peru,,[],2595,C33-34,"{'15': {'id': 15, 'label': 'Lung', 'total': 2595}}",2805.6,2400.2,6.3873344332045,7.8703509654873,2.0741891991523
134,634,4,634,,1,0,Qatar,,[],77,C33-34,"{'15': {'id': 15, 'label': 'Lung', 'total': 77}}",174.9,33.9,8.4944843847613,2.6726274357355,3.491760587875
135,348,5,348,,1,0,Hungary,,[],8920,C33-34,"{'15': {'id': 15, 'label': 'Lung', 'total': 8920}}",9198.2,8650.2,42.389694330902,92.336198999001,9.2003289874253
136,792,4,792,,1,0,Turkey,,[],37070,C33-34,"{'15': {'id': 15, 'label': 'Lung', 'total': 37070}}",38069.4,36096.8,35.885136459626,43.953533420046,9.1329021518174
137,48,4,48,,1,0,Bahrain,,[],84,C33-34,"{'15': {'id': 15, 'label': 'Lung', 'total': 84}}",120.7,58.5,10.571633357922,4.9365796437788,4.5093323886004
138,470,5,470,,1,0,Malta,,[],194,C33-34,"{'15': {'id': 15, 'label': 'Lung', 'total': 194}}",239.0,157.5,16.721674999873,43.937228647979,5.0500323289037
139,192,2,192,,1,0,Cuba,,[],6173,C33-34,"{'15': {'id': 15, 'label': 'Lung', 'total': 6173}}",6436.1,5920.7,25.892284479775,54.49994949948,7.4749820224689
140,222,2,222,,1,0,El Salvador,,[],359,C33-34,"{'15': {'id': 15, 'label': 'Lung', 'total': 359}}",431.2,298.9,4.3227259788749,5.5348269349038,1.6700279240381
141,682,4,682,,1,0,Saudi Arabia,,[],1001,C33-34,"{'15': {'id': 15, 'label': 'Lung', 'total': 1001}}",1146.7,873.8,4.5509712395065005,2.8752910442267,1.4230777285245
142,376,4,376,,1,0,Israel,,[],2170,C33-34,"{'15': {'id': 15, 'label': 'Lung', 'total': 2170}}",2326.0,2024.5,16.049543215726,25.070645497491,4.7920567153964
143,834,1,834,,1,0,"Tanzania, United Republic of",,[],762,C33-34,"{'15': {'id': 15, 'label': 'Lung', 'total': 762}}",1272.4,456.3,3.0698208068236,1.2756508569051,1.021846405483
144,70,5,70,,1,0,Bosnia and Herzegovina,,[],2240,C33-34,"{'15': {'id': 15, 'label': 'Lung', 'total': 2240}}",2354.1,2131.5,32.107898456889,68.275718076149,7.1632652711355
145,499,5,499,,1,0,Montenegro,,[],370,C33-34,"{'15': {'id': 15, 'label': 'Lung', 'total': 370}}",417.6,327.8,31.589303037793,58.911381360439,6.9147955259096
