country_year,gini,wgini,w2,w1,whalf,ede2,ede1,edehalf,a2,a1,ahalf,ge2,ge1,ge0,gem1,p75p50,p25p50,p10p50,p90p50,p75p25,p90p10,p95,p90,p75,p50,p25,p10,p5,max,min,sumw,sd,Var,mean
AT2005,.42861816,34480.008,-.000046354042,10.639608,447.77142,21573.092,41756.41,50124.813,.6425038,.30803803,.16936196,1.1233493,.40963444,.36822426,.89861614,1.4955046,.6858393,.36550698,2.3556206,2.1805468,6.4448037,148689.61,103849.22,65930.383,44085.711,30235.713,16113.636,7632.9868,11155960,848.05188,.95008999,90823.992,8248996864,60344.949
AT2006,.45003796,34416.965,-.000046748373,10.640913,450.10312,21391.119,41810.938,50648.203,.65818298,.3318868,.19067267,1.947751,.4983252,.40329766,.96277106,1.5130575,.67010057,.35820791,2.3535638,2.2579558,6.570385,152076.09,104648.3,67276.227,44463.766,29795.193,15927.271,7544.415,9952822,838.05188,.95008999,124024.88,15382169600,62580.617
AT2007,.42893606,36696.418,-.000043657201,10.701735,461.97607,22905.729,44432.922,53355.473,.64354461,.3085418,.16969046,1.3009561,.41250557,.36895257,.90270013,1.5020087,.67632276,.36101186,2.3160403,2.2208459,6.4154134,155214.41,109688.56,71135.711,47360.387,32030.908,17097.662,8098.8306,17387752,899.61035,.95008999,104081.25,10832906240,64259.738
AT2008,.42985064,37198.336,-.00004278863,10.714622,464.63788,23370.695,45009.234,53972.094,.64179081,.3101308,.17275457,1.1803253,.42792949,.37125328,.89583236,1.5055827,.69496715,.36823481,2.3412232,2.1664085,6.3579631,153629.47,111270.13,71555.063,47526.492,33029.348,17500.908,8289.6104,3026903.8,921.16876,.95008999,100655.6,10131550208,65243.145
AT2009,.42155609,35357.387,-.000045186189,10.662272,451.81793,22130.656,42713.578,51034.859,.63794428,.30120936,.16507387,2.0160177,.40982378,.3584041,.88100296,1.5125585,.67824733,.36499393,2.3341994,2.2300987,6.3951731,147130.13,105823.5,68573.5,45336.102,30749.09,16547.402,7838.0518,25032364,870.64929,.95008999,123244.7,15189257216,61125
AT2010,.4247883,35859.969,-.000045248235,10.674861,455.61356,22100.311,43254.68,51895.926,.6455,.30617341,.16756356,1.0437614,.4061715,.36553323,.91043735,1.5173368,.66768235,.35239375,2.3098519,2.272543,6.5547476,148882.06,107210.13,70426.102,46414.285,30989.998,16356.104,7747.9219,1884638.9,860.77917,.95008999,90445.094,8180314624,62342.207
AT2011,.41667989,37059.801,-.000043265387,10.704997,460.92743,23113.164,44578.066,53113.527,.63619953,.29834262,.16399476,2.1485677,.41299063,.35431004,.87437969,1.4660772,.66179764,.3536166,2.1902459,2.2152953,6.1938434,145042.33,106772.2,71469.734,48748.957,32261.947,17238.441,8165.4541,26257854,907.01294,.95008999,132243.06,17488226304,63532.527
AT2012,.396718,37911.832,-.000041884527,10.727416,464.32312,23875.166,45588.727,53898.992,.62008011,.27455738,.14231808,.62294644,.31889504,.32097331,.81606704,1.4808807,.68137908,.36520177,2.2693,2.1733582,6.2138247,157521.3,111316.23,72641.813,49053.113,33423.766,17914.285,8485.7139,3735217.8,942.59735,.95008999,70433.938,4960940032,62842.637
AT2013,.39689723,37512.734,-.000042411648,10.714474,461.21835,23578.428,45002.5,53180.594,.62092298,.27648216,.14500068,.73406744,.33261669,.32363006,.81899315,1.4686903,.68964118,.36363879,2.226768,2.1296442,6.1235714,149886.09,108126.36,71315.969,48557.531,33487.27,17657.402,8364.0254,4796915.5,929.09088,.95008999,75675.906,5726842368,62199.574
AT2014,.41587415,36148.539,-.000044286804,10.680635,455.46799,22580.09,43505.207,51862.773,.63512731,.29699743,.16194713,1.0432283,.39231014,.35239473,.87034106,1.4731047,.68416518,.36041254,2.2186086,2.1531417,6.1557479,145830.52,103675.58,68838.18,46729.996,31971.037,16842.076,7977.9219,6125948.5,886.62335,.95008999,89758.633,8056612352,61884.848
AT2015,.4088991,36071.766,-.000044147415,10.678365,454.24536,22651.383,43406.496,51584.711,.62881625,.28870627,.15469153,.81958717,.3634927,.34066984,.84704173,1.4658008,.66949123,.36006737,2.1818447,2.189425,6.059546,144478.95,102793.5,69058.438,47113.113,31541.816,16963.895,8035.8438,1655502,892.72723,.95008999,78452.281,6154760704,61024.719
AT2016,.41615209,36464.867,-.000043461652,10.690934,457.52386,23008.789,43955.547,52332.02,.63160062,.29621693,.1620992,1.1068741,.39540809,.3512851,.8572228,1.4702691,.67493778,.36558992,2.2413557,2.1783772,6.1307917,150344.53,105954.41,69503.242,47272.465,31905.973,17282.336,8186.3633,5898338.5,909.74023,.95008999,93309.578,8706677760,62456.105
AU1950,.47082362,11787.117,-.00016077045,9.5297213,262.72235,6220.0488,13762.76,17255.756,.72075421,.38212818,.22531195,4.1613436,.64583701,.48147428,1.2905372,1.7977829,.4715299,.26603922,2.1668072,3.8126595,8.1446905,36268.57,35662.109,29588.57,16458.367,7760.6123,4378.5713,2074.0137,4620486,230.47618,.95008999,64524.723,4163439872,22274.459
AU1951,.40939939,13392.692,-.00014356275,9.6337299,273.98398,6965.5952,15271.288,18766.805,.69282615,.32655573,.17240797,1.5082113,.41684687,.39535004,1.1277429,1.5694616,.43490055,.24726337,1.7229321,3.6087828,6.9680037,36202.379,34177.348,31132.992,19836.734,8627.0068,4904.8979,2323.3333,2723234.3,258.09525,.95008999,39546.434,1563920512,22676.395
