year,count,var
2005-2010,46,X002_02A
2017-2022,89,X002_02A
1981-1984,24,X002_02B
1989-1993,43,X002_02B
1994-1998,55,X002_02B
1999-2004,71,X002_02B
2005-2010,82,X002_02B
2010-2014,60,X002_02B
2017-2022,90,X002_02B
2005-2010,46,X002_03
2017-2022,36,X002_03
1981-1984,21,X003
1989-1993,43,X003
1994-1998,55,X003
1999-2004,71,X003
2005-2010,82,X003
2010-2014,60,X003
2017-2022,90,X003
1981-1984,21,X003R
1989-1993,43,X003R
1994-1998,55,X003R
1999-2004,71,X003R
2005-2010,82,X003R
2010-2014,60,X003R
2017-2022,90,X003R
1981-1984,21,X003R2
1989-1993,43,X003R2
1994-1998,55,X003R2
1999-2004,71,X003R2
2005-2010,82,X003R2
2010-2014,60,X003R2
2017-2022,90,X003R2
1999-2004,33,X004
2005-2010,45,X004
2017-2022,36,X004
1999-2004,30,X006
2005-2010,46,X006
1981-1984,23,X007
1989-1993,43,X007
1994-1998,55,X007
1999-2004,71,X007
2005-2010,82,X007
2010-2014,60,X007
2017-2022,90,X007
2005-2010,46,X007_01
2017-2022,36,X007_01
2005-2010,46,X007_02
2017-2022,36,X007_02
1989-1993,33,X008
1981-1984,24,X011
1989-1993,42,X011
1994-1998,55,X011
1999-2004,70,X011
2005-2010,80,X011
2010-2014,59,X011
2017-2022,89,X011
1981-1984,24,X011A
1989-1993,38,X012
2017-2022,36,X012
1981-1984,16,X013
2005-2010,3,X013
2017-2022,90,X013
1981-1984,22,X023
1989-1993,29,X023
1994-1998,26,X023
1999-2004,68,X023
2005-2010,80,X023
2010-2014,58,X023
2017-2022,36,X023
1981-1984,16,X023R
1989-1993,40,X023R
1999-2004,33,X023R
2005-2010,46,X023R
2017-2022,36,X023R
1989-1993,7,X025
1994-1998,53,X025
1999-2004,71,X025
2005-2010,82,X025
2010-2014,60,X025
2017-2022,36,X025
2005-2010,46,X025A
2017-2022,36,X025A
2017-2022,90,X025A_01
2005-2010,46,X025CSEVS
2017-2022,34,X025CSEVS
1989-1993,2,X025CSWVS
1994-1998,41,X025CSWVS
1999-2004,40,X025CSWVS
2005-2010,17,X025CSWVS
2010-2014,11,X025CSWVS
2017-2022,37,X025CSWVS
1989-1993,7,X025R
1994-1998,53,X025R
1999-2004,71,X025R
2005-2010,82,X025R
2010-2014,60,X025R
2017-2022,90,X025R
1981-1984,22,X026
1989-1993,41,X026
1994-1998,53,X026
1999-2004,69,X026
2005-2010,53,X026
2010-2014,59,X026
2017-2022,64,X026
2017-2022,36,X026_01
1981-1984,23,X028
1989-1993,41,X028
1994-1998,53,X028
1999-2004,71,X028
2005-2010,81,X028
2010-2014,59,X028
2017-2022,90,X028
2005-2010,46,X028_01
2017-2022,36,X028_01
1999-2004,32,X031
2005-2010,76,X031
2010-2014,60,X031
2017-2022,36,X031
1999-2004,32,X032R_01
2005-2010,46,X032R_01
2017-2022,36,X032R_01
1999-2004,30,X034R_01
2005-2010,46,X034R_01
2017-2022,36,X034R_01
1999-2004,31,X035_2
2005-2010,46,X035_2
2017-2022,36,X035_2_01
1981-1984,21,X036
1989-1993,40,X036
1994-1998,54,X036
1999-2004,70,X036
2005-2010,51,X036
2010-2014,2,X036
2005-2010,46,X036A
2017-2022,36,X036A
2005-2010,46,X036B
2017-2022,36,X036B
2005-2010,46,X036C
2017-2022,36,X036C
2005-2010,46,X036D
2017-2022,36,X036D
2005-2010,46,X037_01
2017-2022,36,X037_01
2005-2010,46,X037_02
2017-2022,36,X037_02
1981-1984,20,X040
1989-1993,42,X040
1994-1998,53,X040
1999-2004,70,X040
2005-2010,52,X040
2010-2014,59,X040
2017-2022,64,X040
1989-1993,39,X041
1994-1998,51,X041
1999-2004,69,X041
2005-2010,51,X041
2010-2014,60,X041
1981-1984,18,X043
1989-1993,39,X043
1994-1998,51,X043
1999-2004,69,X043
2005-2010,45,X043
1994-1998,53,X044
1999-2004,40,X044
2005-2010,53,X044
2010-2014,60,X044
2017-2022,64,X044
1981-1984,1,X045
1994-1998,55,X045
1999-2004,40,X045
2005-2010,51,X045
2010-2014,60,X045
2017-2022,62,X045
1981-1984,10,X046
1989-1993,29,X046
1999-2004,16,X046
1981-1984,16,X047_EVS
1989-1993,28,X047_EVS
1999-2004,32,X047_EVS
2005-2010,46,X047_EVS
2017-2022,35,X047_EVS
1981-1984,5,X047_WVS
1989-1993,18,X047_WVS
1994-1998,52,X047_WVS
1999-2004,40,X047_WVS
2005-2010,57,X047_WVS
2010-2014,60,X047_WVS
2017-2022,64,X047_WVS
1981-1984,16,X047CS
1989-1993,38,X047CS
1994-1998,52,X047CS
1999-2004,70,X047CS
2005-2010,60,X047CS
2017-2022,35,X047CS
1999-2004,25,X047D
2005-2010,46,X047D
2017-2022,35,X047D
1981-1984,16,X047R_EVS
1989-1993,28,X047R_EVS
1999-2004,33,X047R_EVS
2005-2010,46,X047R_EVS
2017-2022,35,X047R_EVS
1981-1984,5,X047R_WVS
1989-1993,18,X047R_WVS
1994-1998,52,X047R_WVS
1999-2004,40,X047R_WVS
2005-2010,57,X047R_WVS
2010-2014,60,X047R_WVS
2017-2022,64,X047R_WVS
1981-1984,10,X048_EVS
1989-1993,22,X048_EVS
1999-2004,31,X048_EVS
1981-1984,24,x048a_n1
1989-1993,43,x048a_n1
1994-1998,55,x048a_n1
1999-2004,71,x048a_n1
2005-2010,82,x048a_n1
2010-2014,60,x048a_n1
2017-2022,90,x048a_n1
1981-1984,24,x048b_n2
1989-1993,43,x048b_n2
1994-1998,55,x048b_n2
1999-2004,71,x048b_n2
2005-2010,82,x048b_n2
2010-2014,60,x048b_n2
2017-2022,90,x048b_n2
1981-1984,24,X048H_N1
1989-1993,43,X048H_N1
1994-1998,55,X048H_N1
1999-2004,71,X048H_N1
2005-2010,82,X048H_N1
2010-2014,60,X048H_N1
2017-2022,90,X048H_N1
1981-1984,24,X048I_N2
1989-1993,43,X048I_N2
1994-1998,55,X048I_N2
1999-2004,71,X048I_N2
2005-2010,82,X048I_N2
2010-2014,60,X048I_N2
2017-2022,90,X048I_N2
1981-1984,1,X048ISO
1989-1993,9,X048ISO
1994-1998,25,X048ISO
1999-2004,21,X048ISO
2005-2010,40,X048ISO
2010-2014,53,X048ISO
2017-2022,63,X048ISO
1981-1984,3,X048WVS
1989-1993,15,X048WVS
1994-1998,49,X048WVS
1999-2004,35,X048WVS
2005-2010,56,X048WVS
2010-2014,59,X048WVS
2017-2022,60,X048WVS
1989-1993,35,X049
1994-1998,39,X049
1999-2004,58,X049
2005-2010,44,X049
2010-2014,47,X049
2017-2022,64,X049
1989-1993,12,X049A
1994-1998,39,X049A
1999-2004,26,X049A
2005-2010,44,X049A
2010-2014,47,X049A
2017-2022,64,X049A
1981-1984,1,X049CS
1989-1993,3,X049CS
1994-1998,12,X049CS
1999-2004,7,X049CS
2005-2010,10,X049CS
2010-2014,7,X049CS
1981-1984,22,X050
1989-1993,2,X050
1999-2004,7,X050C
2005-2010,6,X050C
2017-2022,64,X050C
1981-1984,12,X051
1989-1993,7,X051
1994-1998,32,X051
1999-2004,31,X051
2005-2010,44,X051
2010-2014,49,X051
2017-2022,58,X051
2005-2010,54,X052
2010-2014,59,X052
2017-2022,90,X052
2005-2010,53,X053
2010-2014,60,X053
2005-2010,53,X054
2010-2014,60,X054
2005-2010,53,X055
2010-2014,60,X055
1989-1993,42,Y001
1994-1998,52,Y001
1999-2004,40,Y001
2005-2010,55,Y001
2010-2014,59,Y001
2017-2022,64,Y001
1981-1984,22,Y002
1989-1993,43,Y002
1994-1998,54,Y002
1999-2004,70,Y002
2005-2010,81,Y002
2010-2014,59,Y002
2017-2022,90,Y002
1981-1984,7,Y003
1989-1993,16,Y003
1994-1998,54,Y003
1999-2004,38,Y003
2005-2010,58,Y003
2010-2014,60,Y003
2017-2022,64,Y003
1981-1984,8,Y010
1989-1993,18,Y010
1994-1998,52,Y010
1999-2004,38,Y010
2005-2010,57,Y010
2010-2014,60,Y010
2017-2022,64,Y010
1981-1984,8,Y011
1989-1993,18,Y011
1994-1998,53,Y011
1999-2004,40,Y011
2005-2010,58,Y011
2010-2014,60,Y011
2017-2022,64,Y011
1981-1984,8,Y011A
1989-1993,18,Y011A
1994-1998,54,Y011A
1999-2004,39,Y011A
2005-2010,57,Y011A
2010-2014,60,Y011A
2017-2022,64,Y011A
1981-1984,8,Y011B
1989-1993,18,Y011B
1994-1998,53,Y011B
1999-2004,40,Y011B
2005-2010,57,Y011B
2010-2014,60,Y011B
2017-2022,64,Y011B
1989-1993,16,Y011C
1994-1998,53,Y011C
1999-2004,39,Y011C
2005-2010,57,Y011C
2010-2014,60,Y011C
2017-2022,64,Y011C
1981-1984,7,Y012
1989-1993,17,Y012
1994-1998,52,Y012
1999-2004,39,Y012
2005-2010,58,Y012
2010-2014,60,Y012
2017-2022,64,Y012
1989-1993,18,Y012A
1994-1998,54,Y012A
1999-2004,39,Y012A
2005-2010,57,Y012A
2010-2014,60,Y012A
2017-2022,64,Y012A
1981-1984,7,Y012B
1989-1993,16,Y012B
1994-1998,51,Y012B
1999-2004,37,Y012B
2005-2010,58,Y012B
2010-2014,59,Y012B
2017-2022,64,Y012B
1981-1984,8,Y012C
1989-1993,16,Y012C
1994-1998,52,Y012C
1999-2004,39,Y012C
2005-2010,57,Y012C
2010-2014,57,Y012C
2017-2022,64,Y012C
1981-1984,8,Y013
1989-1993,16,Y013
1994-1998,52,Y013
1999-2004,37,Y013
2005-2010,56,Y013
2010-2014,60,Y013
2017-2022,64,Y013
1981-1984,8,Y013A
1989-1993,14,Y013A
1994-1998,51,Y013A
1999-2004,37,Y013A
2005-2010,55,Y013A
2010-2014,60,Y013A
2017-2022,62,Y013A
1981-1984,7,Y013B
1989-1993,16,Y013B
1994-1998,52,Y013B
1999-2004,36,Y013B
2005-2010,56,Y013B
2010-2014,58,Y013B
2017-2022,64,Y013B
1981-1984,8,Y013C
1989-1993,18,Y013C
1994-1998,52,Y013C
1999-2004,39,Y013C
2005-2010,57,Y013C
2010-2014,60,Y013C
2017-2022,64,Y013C
1981-1984,7,Y014
1989-1993,17,Y014
1994-1998,53,Y014
1999-2004,35,Y014
2005-2010,56,Y014
2010-2014,60,Y014
2017-2022,63,Y014
1981-1984,7,Y014A
1989-1993,17,Y014A
1994-1998,53,Y014A
1999-2004,36,Y014A
2005-2010,55,Y014A
2010-2014,59,Y014A
2017-2022,62,Y014A
1981-1984,7,Y014B
1989-1993,17,Y014B
1994-1998,53,Y014B
1999-2004,36,Y014B
2005-2010,56,Y014B
2010-2014,60,Y014B
2017-2022,63,Y014B
1981-1984,8,Y014C
1989-1993,17,Y014C
1994-1998,53,Y014C
2005-2010,54,Y014C
2010-2014,60,Y014C
2017-2022,63,Y014C
1981-1984,6,Y020
1989-1993,17,Y020
1994-1998,55,Y020
1999-2004,40,Y020
2005-2010,58,Y020
2010-2014,60,Y020
2017-2022,64,Y020
1981-1984,7,Y021
1989-1993,17,Y021
1994-1998,55,Y021
1999-2004,40,Y021
2005-2010,58,Y021
2010-2014,60,Y021
2017-2022,64,Y021
1981-1984,7,Y021A
1989-1993,17,Y021A
1994-1998,55,Y021A
1999-2004,40,Y021A
2005-2010,58,Y021A
2010-2014,60,Y021A
2017-2022,64,Y021A
1981-1984,7,Y021B
1989-1993,17,Y021B
1994-1998,54,Y021B
1999-2004,39,Y021B
2005-2010,58,Y021B
2010-2014,60,Y021B
2017-2022,64,Y021B
1981-1984,7,Y021C
1989-1993,17,Y021C
1994-1998,55,Y021C
1999-2004,40,Y021C
2005-2010,58,Y021C
2010-2014,60,Y021C
2017-2022,64,Y021C
1994-1998,53,Y022
1999-2004,39,Y022
2005-2010,58,Y022
2010-2014,60,Y022
2017-2022,64,Y022
1989-1993,17,Y022A
1994-1998,55,Y022A
1999-2004,39,Y022A
2005-2010,57,Y022A
2010-2014,60,Y022A
2017-2022,64,Y022A
1994-1998,53,Y022B
1999-2004,39,Y022B
2005-2010,58,Y022B
2010-2014,60,Y022B
2017-2022,64,Y022B
1994-1998,53,Y022C
1999-2004,39,Y022C
2005-2010,58,Y022C
2010-2014,60,Y022C
2017-2022,64,Y022C
1981-1984,8,Y023
1989-1993,18,Y023
1994-1998,52,Y023
1999-2004,39,Y023
2005-2010,56,Y023
2010-2014,59,Y023
2017-2022,64,Y023
1981-1984,8,Y023A
1989-1993,18,Y023A
1994-1998,52,Y023A
1999-2004,37,Y023A
2005-2010,54,Y023A
2010-2014,58,Y023A
2017-2022,62,Y023A
1981-1984,8,Y023B
1989-1993,18,Y023B
1994-1998,52,Y023B
1999-2004,39,Y023B
2005-2010,56,Y023B
2010-2014,59,Y023B
2017-2022,64,Y023B
1981-1984,8,Y023C
1989-1993,18,Y023C
1994-1998,53,Y023C
1999-2004,39,Y023C
2005-2010,57,Y023C
2010-2014,60,Y023C
2017-2022,64,Y023C
1981-1984,7,Y024
1989-1993,18,Y024
1994-1998,55,Y024
1999-2004,40,Y024
2005-2010,57,Y024
2010-2014,59,Y024
2017-2022,64,Y024
1981-1984,7,Y024A
1989-1993,18,Y024A
1994-1998,55,Y024A
1999-2004,40,Y024A
2005-2010,57,Y024A
2010-2014,59,Y024A
2017-2022,64,Y024A
1989-1993,18,Y024B
1994-1998,53,Y024B
1999-2004,39,Y024B
2005-2010,55,Y024B
2010-2014,59,Y024B
2017-2022,64,Y024B
1989-1993,18,Y024C
1994-1998,53,Y024C
1999-2004,39,Y024C
2005-2010,55,Y024C
2010-2014,59,Y024C
2017-2022,64,Y024C
1981-1984,24,year
1989-1993,43,year
1994-1998,55,year
1999-2004,71,year
2005-2010,82,year
2010-2014,60,year
2017-2022,90,year
